Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......7616 Appenzell I.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7616 Appenzell I.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
......7616 Appenzell I.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Tiefbau	Neubau	720	698	0	90	144	339	2210	944	742	574	806	1377	1245	1157	781	1041	1032	965
......7616 Appenzell I.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Tiefbau	Umbau	1370	3355	1090	5700	961	6379	472	3373	1166	1876	1655	1440	780	2456	113	133	157	173
......7616 Appenzell I.Rh. (Unzuteilbar	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7616 Appenzell I.Rh. (Unzuteilbar	Private Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
......7616 Appenzell I.Rh. (Unzuteilbar	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7616 Appenzell I.Rh. (Unzuteilbar	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	2703	0
......7615 Appenzell A.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7615 Appenzell A.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Hochbau	Umbau	300	300	300	500	300	300	600	0	0	0	0	0	0	0	0	0	0	0
......7615 Appenzell A.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Tiefbau	Neubau	12143	13473	14250	14300	14039	12264	7760	8214	3487	3274	3326	4077	3945	27662	2300	2323	4531	6475
......7615 Appenzell A.Rh. (Unzuteilbar	Öffentliche Auftraggeber	Tiefbau	Umbau	1324	1315	200	3910	261	29	196	4464	7035	14911	26689	19415	20835	15474	22963	19848	21982	17003
......7615 Appenzell A.Rh. (Unzuteilbar	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7615 Appenzell A.Rh. (Unzuteilbar	Private Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	360	60	0	0	500	0	0	0
......7615 Appenzell A.Rh. (Unzuteilbar	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	0	1080	910	0	51	50	64	11	0
......7615 Appenzell A.Rh. (Unzuteilbar	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	2270	0	60	0	200	280	0	80	0	1796
......7614 Schaffhausen (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	1000	0	2000	3400	6060	0	554	5435	700	20	0	0	0	0	0
......7614 Schaffhausen (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	3620	1825	400	3745	20352	4749	7150	7674	2076	280	364	4074	71	137	0	0	0	0
......7614 Schaffhausen (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	5856	4936	1137	200	0	0	2413	8754	7722	3609	2573	17828	7208	11317	43106	59105	42135	62129
......7614 Schaffhausen (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	670	2641	536	1586	2736	6337	1922	2726	609	3411	3767	2927	2914	2145	6210	4643	5034	14899
......7614 Schaffhausen (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7614 Schaffhausen (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	245	55	0	0	8	0	0	0	0	0	0
......7614 Schaffhausen (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	0	0	0	0
......7614 Schaffhausen (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7613 Basel-Landschaft (Unzuteilba	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	14161	0	0	0	0	0	0	0	0	0	0	100	0
......7613 Basel-Landschaft (Unzuteilba	Öffentliche Auftraggeber	Hochbau	Umbau	2500	2000	1000	0	0	2554	5765	6271	4063	797	0	0	851	1246	0	871	118	18
......7613 Basel-Landschaft (Unzuteilba	Öffentliche Auftraggeber	Tiefbau	Neubau	208857	165560	156980	128690	110100	164930	89265	105225	224546	71995	112408	156765	129816	118834	182056	106361	8992	7014
......7613 Basel-Landschaft (Unzuteilba	Öffentliche Auftraggeber	Tiefbau	Umbau	20400	21521	22169	22964	24885	16420	11928	13848	28772	33355	42588	19221	28290	60783	82839	54953	30593	36517
......7613 Basel-Landschaft (Unzuteilba	Private Auftraggeber	Hochbau	Neubau	100	50	0	135	0	0	0	0	50	50	50	10	30	150	150	300	200	250
......7613 Basel-Landschaft (Unzuteilba	Private Auftraggeber	Hochbau	Umbau	805	250	1070	141	190	240	235	360	202	192	210	210	100	1736	140	125	705	705
......7613 Basel-Landschaft (Unzuteilba	Private Auftraggeber	Tiefbau	Neubau	5690	5740	5715	2464	4100	3250	2695	2210	1700	1210	1267	1700	1225	3968	400	1500	1500	2000
......7613 Basel-Landschaft (Unzuteilba	Private Auftraggeber	Tiefbau	Umbau	16636	11300	13600	8840	7840	4126	1575	600	2050	1200	2800	500	400	5667	4680	9500	880	6600
......7612 Basel-Stadt (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	16000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7612 Basel-Stadt (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	3139	1333	7741	7581	3209	0	0	0	459	0	0	266	0
......7612 Basel-Stadt (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	9545	3185	1000	1390	3650	1522	4091	4648	3606	3015	3285	7901	8124	18451	43982	28272	35413	27146
......7612 Basel-Stadt (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	40370	20997	10705	9647	18679	7523	18591	17531	15994	27807	24240	23894	29582	47469	21231	9569	19667	11598
......7612 Basel-Stadt (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7612 Basel-Stadt (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7612 Basel-Stadt (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7612 Basel-Stadt (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
